チャンネル,動画名,動画URL,アップロード日,視聴数,倍率(vs中央値),outlier
https://www.youtube.com/@%E5%A5%87%E8%B7%A1%E3%81%AE%E6%97%A5%E6%9C%AC-t2r,【海外の反応】「日本が先進国なんて間違ってる！」日本を見下すドイツ人女子大生たちが、初来日で新幹線に乗った5分後に後悔し猛省した理由,https://www.youtube.com/watch?v=fLqqKdoa43k,2026-08-28 12:00,5301,66.26,○
https://www.youtube.com/@%E5%A5%87%E8%B7%A1%E3%81%AE%E6%97%A5%E6%9C%AC-t2r,【海外の反応】「今は中国の方が各上よね？」中国人女性が東京駅と新幹線を痛烈批判...来日3分で絶望した理由,https://www.youtube.com/watch?v=e25Z3qcwdNw,2026-08-28 20:15,4755,59.44,○
https://www.youtube.com/@%E6%88%91%E3%81%8C%E6%97%A5%E6%9C%AC,"「キック始動なんて原始的すぎるw」マイナス10度の北欧で最新BMWのバッテリーが完全凍結→""日本の古いヤマハSR400""がたった一蹴りで力強い鼓動を響かせた瞬間に欧州が絶句【海外の反応】",https://www.youtube.com/watch?v=5qT6r2uYH-k,2026-08-27 18:00,3405,36.61,○
https://www.youtube.com/@%E6%97%A5%E3%81%AE%E6%9C%AC%E3%81%AE%E5%93%81%E6%A0%BC,【海外の反応】修学旅行で日本に来たイギリス名門女子高生が羽田空港と日本の学校の掃除の時間に驚いた話 #shorts,https://www.youtube.com/watch?v=UPnEiZxf8g8,2026-08-27 14:58,118744,23.4,○
https://www.youtube.com/@%E6%B0%97%E9%AB%98%E3%81%8DNIPPON,【海外の反応】「一文字なのに、なぜ通じる？」日本人なら一瞬で意味が伝わる謎の文字…AIも読み解けなかった理由,https://www.youtube.com/watch?v=POBlYz6IUgQ,2026-08-27 18:00,23950,23.34,○
https://www.youtube.com/@%E6%B5%B7%E5%A4%96%E3%81%AE%E5%8F%8D%E5%BF%9C-j1f,【海外の反応】「こんな魚は捨てるしかない」業者に安く買い叩かれ続けた小さな漁村で、日本人料理人が見抜いた“誰も食べなかった魚の価値”が一人の少年の未来を変えた,https://www.youtube.com/watch?v=izwEmrwD7aU,2026-08-27 17:00,16571,21.58,○
https://www.youtube.com/@%E6%B5%B7%E5%A4%96%E3%81%AE%E5%8F%8D%E5%BF%9CNEWS,【海外感動秘話】首都沈没で国家非常事態！巨額契約を中国から奪い取った日本の「たった一つの約束」に世界が涙…「我々は見捨てない」,https://www.youtube.com/watch?v=dBp3sx19Bco,2026-08-27 18:30,2145,16.25,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%AE%E6%84%9F%E5%8B%95%E3%81%AE%E5%B5%9020xx,【海外感動】NATOが日本に「18兆円を今すぐ出せ」と無償支援を要求！最後通告を受けた日本が見つけ出した反撃策、その驚きの展開に世界が騒然！,https://www.youtube.com/watch?v=iXND2XFKRws,2026-08-27 14:56,79064,16.1,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E8%BB%8A%E3%81%AE%E9%AD%82,中国を選んだインドネシア、赤字地獄へ…豪州が日本を選ぶ衝撃の理由,https://www.youtube.com/watch?v=yuJZXUMCios,2026-08-27 13:40,20221,14.78,○
https://www.youtube.com/@japan_shogeki,【海外の反応】「子供に日本の白米を見せると危険w」初来日の少食イギリス人息子がアニメで見た山盛り白米に夢中w 高級炊飯器まで購入したら帰国後とんでもないことに,https://www.youtube.com/watch?v=FP9cuJgY12c,2026-08-27 09:00,5582,14.77,○
https://www.youtube.com/@nyasinfo/videos,【逃げ道なし】アメリカが中国の石油ルートをほぼ全て塞いだ結果#猫マニ #猫ミーム,https://www.youtube.com/watch?v=ZKGcpgH7Otc,2026-08-27 18:00,550550,14.26,○
https://www.youtube.com/@%E5%A5%87%E8%B7%A1%E3%81%AE%E6%97%A5%E6%9C%AC-t2r,【海外の反応】「中国は日本の100倍安全なのよ！」5年間日本での単身赴任を終えた中国人キャリア女性、楽しみにしていた 母国帰国後“信じられない光景”に絶望・・・。,https://www.youtube.com/watch?v=IPB7-spjKFQ,2026-08-27 20:15,1012,12.65,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E9%A9%9A%E6%84%95%E3%81%97%E3%81%9F,【海外の反応】「日本は韓国に興味ナシ！」韓国の人気番組でAIが衝撃発言！韓国が凍りついた残酷すぎるデータとは,https://www.youtube.com/watch?v=qCmXAFAVib0,2026-08-29 17:00,49566,11.07,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%AE%E6%84%9F%E5%8B%95%E3%81%AE%E5%B5%9020xx,【海外感動ストーリー】3兆円級の日本兵器に世界騒然！アメリカ・韓国・中国がすべて脱落、核爆弾クラスの兵器に驚愕！,https://www.youtube.com/watch?v=C85_SXXqlvM,2026-08-29 16:57,49951,10.17,○
https://www.youtube.com/@sekai-nihonn,【海外の反応】「これは怖い…」中国の異常な混雑、日本との落差に外国人驚愕,https://www.youtube.com/watch?v=Z1LI8SsT6QI,2026-08-27 19:00,6723,8.91,○
https://www.youtube.com/@ShineintheWorldJapan,「これは衝撃的すぎる!!」海外メディアが取り上げた日本のモノの数え方、外国人学者が徹底検証で価値観がひっくり返った驚愕の理由とは？【海外の反応】,https://www.youtube.com/watch?v=a-kxbiztsZw,2026-08-28 11:00,24271,8.67,○
https://www.youtube.com/@sekai_tataeru_japan,【海外の反応】「帰国したら何を食べても美味しくない！」日本旅行後、味覚がおかしくなりパニックになる外国人が続出中！その理由に世界中が絶句！,https://www.youtube.com/watch?v=8-zS6mg5QC0,2026-08-27 19:30,2909,7.8,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E7%A7%B0%E8%B3%9B%E3%81%99%E3%82%8B%E6%97%A5%E6%9C%AC%E3%81%AE%E5%BA%95%E5%8A%9B,【海外の反応】「日本には人の心がない！」韓国議員の批判発言だが各国の反応で韓国国内が緊急騒動へ…,https://www.youtube.com/watch?v=_NW54I0T4BQ,2026-08-27 20:30,7956,7.78,○
https://www.youtube.com/@%E4%B8%96%E7%95%8C%E3%81%8C%E6%86%A7%E3%82%8C%E3%82%8B%E4%BA%AC%E9%83%BD%E3%81%AE%E7%BE%8E-n5z,【海外の反応】「日本は韓国に依存してる！」韓国政府が半導体の国産化で強気発言→韓国が絶句した日本の衝撃的な行動とは,https://www.youtube.com/watch?v=9kFLxgMJtqI,2026-08-28 06:00,9788,7.71,○
https://www.youtube.com/@WaNoHikari,【海外の反応】「日本の角煮はね、お口に入れたらとろけて甘くて最高なんだよ！」肉嫌いを克服した少年が誇らしげに語った理由に感動の物語…和辛子で悶絶した音楽家の父が涙した下町食堂の奇跡,https://www.youtube.com/watch?v=dtN3qPQv_RQ,2026-08-28 17:00,12468,6.84,○
https://www.youtube.com/@%E6%97%A5%E6%9C%AC%E3%81%AE%E9%81%94%E4%BA%BA,【海外の感動話】我々こそ強者だベトナムが日本を夜間強制追放15年間の5％減税を破棄電力20％を無通知カットキヤノン年間1億台拠点も撤退30秒後外資が一斉撤退270億ドル巨額不正が発覚し国家経済を圧迫,https://www.youtube.com/watch?v=bbbJ5R6QJEs,2026-08-27 19:40,385163,6.8,○
